As:1,As:2,As:3,As:4,Qz:1,Qz:2,Qz:3,Qz:4,S-I,Grade
39.5,90,120,80,7.5,4.5,4.5,0,9.75,Pass
40,62,93,32.5,1.5,,0.5,0,3.37,Fail
42.5,63,120,62,,,1,0,6.56,Fail
20.5,42,60,70,1,2,,0,5.06,Fail
43,65,125,10,3,1,0,0,4.5,Fail
42,90,125,70,4,3.5,6,2,10.31,Pass
22,76,110,65,2.5,2,4,0,6.75,Fail
48,80,130,75,6,4,,0,7.31,Pass
50.5,100,135,70,5.5,2,7.5,7,11.62,Pass
45.5,98,137,70,5.5,3,5,6,12,Pass
13.5,59,65,35,1,1,1,0,3.37,Fail
42,97,130,67,5.5,2.5,3,0,8.06,Pass
46.5,100,140,80,3.5,3,5,0,7.87,Pass
46,61,135,70,1,0,,,4.87,Fail
37,72.5,90,50,2,2,0,0,4.5,Fail
38,86,110,58,2,0,2.5,6,8.62,Pass
28.5,75,135,75,3,0,2.5,1,3.75,Fail
53.5,93,105,65,4,1,2.5,2,10.87,Pass
52.5,81,120,40,5,1.5,0,1,7.68,Fail
49,86,138,73,0.5,3,6,3,10.5,Pass
37,100,68.5,40,2,0,3.5,0,6,Fail
45,100,100,60,6,0,9,0,4.31,Pass
34.5,5,68,35,2,2,1,0,3.37,Fail
60,100,140,80,7.5,6.5,3.5,1,10.87,Pass
44.5,40,110,70,2,2,0,0,6.75,Fail
43.5,90,90,60,1.5,2.5,2.5,0,5.25,Fail
15,75,100,45,3,3,3,0,6.18,Fail
40.5,95,115,65,3,5.5,0,0,2.25,Fail
53,82,130,80,3.5,8.5,6,3,11.06,Pass
45,55,120,65,1,2.5,2,0,1.5,Fail
44,78.5,70,15,1,2.5,0,1,4.31,Fail
39,59,91,30,6.5,2,2,0,3.37,Fail
44,96,110,55,3,2,1.5,1,7.12,Pass
25.5,,105,55,3.5,0,1,0,7.12,Fail
44,70,120,65,0.5,5,5,0,7.68,Pass
32.5,37,118,48,1,0,2,0,6.37,Pass
45,78,120,75,5,6.5,2,1,8.81,Pass
43.5,73,135,72,3,1,1,0,5.43,Fail
41,90,125,65,4,0,4.5,0,1.12,Fail
41,85,98,48,2.5,0,4.5,1,1.5,Fail
27.5,68,,,5.5,2,1,0,0.37,Fail
45,92,120,70,3,2,1,1,3.37,Fail
47.5,88,126,30,3.5,0,8,0,4.87,Fail
48,90,120,68,4,0,3,7,4.31,Fail
32,50,95,51,2,0,1,1,1.87,Fail
48,82,90,45,3,0,3,0,3.56,Fail
55,100,130,68,7.5,4,10,10,11.81,Pass
54,83,138,78,4,2,7.5,0,10.12,Pass
33,80,125,53,3.5,1,8,0,2.25,Fail
31,88,66,35,4,0,1,1,5.43,Pass
50.5,87,76,30,4,0,1.5,0,5.43,Pass
46,100,136,78,9,10,10,2,9.75,Pass
49,87,100,75,6.5,1,8.5,2,6.37,Pass
50,86,120,55,3.5,3,6,0,4.31,Fail
54,98,125,75,3,4,10,1,9,Pass
40,97,60,70,4.5,1,0,0,5.43,Pass
53.5,96,94,50,9,2.5,8.5,,6.37,Pass
38.5,96,44.5,33,9,1,2,,4.87,Fail
53,79,110,80,4,0,4.5,,5.25,Pass
47.5,78,125,60,8.5,3.5,7,2,8.06,Pass
43,66,135,65,5,1,10,,5.62,Pass
31.5,80,85,0,3,2,4,,3.75,Fail
35.5,74,80,28,2.5,0,6,0,3.09,Fail
44,89,100,60,1,0,2.5,0,2.62,Fail
47,72,60,50,4.5,0,0,1,2.43,Fail
43,71,125,52,3,2,6,0,7.31,Fail
49.5,72,65,33,3,1,2,0,3.75,Fail
43,93,125,65,3,0,3,0,1.87,Fail
48,79,125,70,2.5,0,7.5,2.5,5.06,Pass
40,74,95,91,5,7,7,2,4.87,Fail
100,72,89,100,7,,,,6.18,Fail
112,89,130,130,18,18,10,10,13.87,Pass
92,68,111,106,3,7,1,8,7.5,Pass
108,90,128,129,17,13,3,7,8.62,Pass
90,49,96,99,5,12,,7,5.43,Fail
104,59,116,127,6,9,7,9.5,5.25,Pass
100,64,117,125,4,6,4,5,6.93,Pass
97,73,110,120,3,7,0,4,7.68,Pass
92,55,85,118,4,,,4,5.43,Fail
94,63,96,115,4,6,3,7,7.87,Pass
104,77,131,125,9,8,3,9,6.18,Pass
85,56,83,97,2,5,2,1,4.87,Fail
98,52,108,121,5,2,1,4,4.31,Fail
96,81,108,125,7,13,6.5,8,8.43,Pass
98,67,105,60,5,3,,6,5.25,Fail
69,61,99,95,2,,,,4.12,Fail
97,70,76,111,5,7,2,5,6.93,Fail
90,86,103,115,8,8,3,9,8.25,Pass
100,68,103,116,5,10,1,6,6.56,Fail
93,79,106,119,5,16,5,5,8.62,Pass
88,72,101,108,7,3,4,3,6.18,Fail
75,41,111,110,2,9,1,6,5.25,Fail
100,79,130,128,4,15,4.5,9,7.31,Pass
99,78,119,128,10,15,3,9,7.12,Pass
73,61,82,96,5,7,3,5,5.62,Fail
88,64,112,116,5,13,2,8,9.75,Pass
82,46,116,124,3,9,2,1,3.93,Fail
54,41,,106,3,9,4.5,,7.12,Fail
94,70,104,93,4,6,,,6,Fail
101,77,116,126,17,10,6.5,7,8.25,Pass
91,80,113,113,9,6,7,3,5.43,Fail
102,77,125,127,6,18,6.5,8,8.62,Pass
93,66,130,126,3,6,8,5,5.62,Pass
98,79,118,125,5,14,8,9,11.43,Pass
79,48,122,123,,5,1,4,3.18,Fail
95,50,107,112,7,8,2,7,4.12,Fail
83,61,117,121,2,8,3,6,5.43,Pass
99,74,132,124,16,4,8,10,5.25,Pass
91,51,95,69,20,24,2,1,7.87,Fail
50,50,87,47,10,17,5.5,0,6.18,Pass
60,40,70,0,14,24,17.5,2,5.81,Pass
73,53,75,73,20,26,8,3,4.12,Pass
97,69,57,25,15,17,2,2,4.87,Fail
15,20,7,0,11,11,0,3,3.56,Fail
84,41,89,38,15,9,4,,6.18,Pass
66.5,34,46,34,12,5,0,,4.87,Fail
90,62,105,75.5,12,16,17.5,2,8.43,Pass
53,0,104,34,11,0,0,,4.87,Fail
60,40,92,55,11,4,3.5,2,2.06,Fail
73,50,77,45.5,11,12.5,0,,3.56,Fail
81,34,105,57,17,25.5,10.5,0,5.81,Pass
58,50,69,51,9,12,1,4,3.18,Fail
80,52,65,57,16,19,4.5,,6.37,Pass
87,0,,49,12,5,1,,2.81,Fail
85,33,75,55,15,18,7.5,4,6,Fail
61,50,45,64,12,6,11,2,6.18,Pass
64,75,103,78,20,20,9.5,0,9.37,Pass
58,50,57,37,7,2,2,0,2.81,Fail
77,0,35,46,9,9.5,4,1,2.62,Fail
70,63,102,80,14,18,15,2,6.37,Pass
34,58,98,61,13,22,12.5,3,8.43,Pass
79.5,54,95,79,14,30.5,6,,5.43,Pass
82,40,90,76,17,28,4,0,9,Pass
82,72,105,82,18,24,,0,9.18,Pass
50,31,88,64,12,14,13,4,6.93,Pass
,35,82,74,11,14,1,0,6.75,Pass
64,60,96,73,16,8,10.5,2,5.62,Pass
58,58,105,47,11,3,1,,2.81,Fail
90,40,90,74,10,19.5,4,1,4.87,Fail
60,56,100,79,,19,1,,6.75,Pass
62,53,72,68,16,27,15,2,6.93,Pass
50,60,103,74,11,11,4,4,6.37,Pass
60,10,,25,11,3.5,1,,3,Fail
0,49,77,63,12,5.5,7,4,3.37,Pass
56,33,81,66,13,24.5,9.5,0,5.62,Fail
87,43,95,71,11,17.5,3.5,2,6,Pass
70,28,90,60,12,10,2,2,4.12,Fail
0,5,38,45,,6,1,2,3,Fail
76,60,103,77,11,24,1,,5.43,Pass
80,50,84.5,33.25,5.5,9,2,10,3.18,Fail
85,48,87,52.5,6,17.5,8,9,8.25,Pass
95,48,83,58.5,6.5,16,9,9,4.68,Pass
82,38,70.5,39,4,12.5,5,9,6.18,Fail
95,50,87.5,57,7,12,6,10,5.62,Pass
98,46,98,59,5,15,7,10,6.56,Pass
0,46,84,0,6.5,14,10.5,10,7.12,Pass
96,49,73,0,6,14.5,4.6,10,6,Pass
0,41,0,0,5,3,3.5,10,3.93,Fail
90,42,96.5,52,5.5,13.5,6.9,8,4.68,Pass
89,50,91.5,57.5,5.5,14,7,8,8.25,Pass
0,39,69,0,5,10.5,4.5,10,4.12,Fail
94,46,47.5,47.5,4.5,14.5,7.8,8,4.12,Pass
85,44,52,,7.5,8.5,5.7,8,7.87,Pass
91,48,83,55,6.5,15,,8,5.43,Pass
80,27,35,50.25,5,14.5,3.8,10,5.25,Pass
75,44,59,45.75,5,11,6,10,5.06,Pass
77,28,75.5,48.5,5,8.5,7.5,10,6,Pass
78,48,86,53.25,4,12.5,3.4,8,3.37,Fail
83,42,71,49,7.5,15,6.5,8,5.62,Pass
69,46,70.5,0,6,14,3.7,10,7.12,Fail
96,49,83.5,43.5,6,13.5,4.5,9,4.68,Pass
74,48,70,52.5,5.5,15,6.5,10,5.81,Pass
0,0,74,50,5.5,16,5.2,10,4.12,Pass
0,0,0,0,,,3.7,9,,Fail
0,0,73,49.5,3,8,4.5,10,4.5,Fail
0,0,0,52.5,4.5,14.5,3.9,10,6.75,Fail
80,29,79.5,31.5,2.5,5,4,10,3.75,Fail
89,43,0,0,7.5,17.5,3.5,9,6.93,Pass
82,36,89,42.5,6,14.5,1,9,3.56,Fail
0,0,34,30,1.5,10,1.5,8,1.68,Fail
95,46,79,6,7,15.5,5.5,9,6.37,Pass
94,42,78,57.5,,14,9.5,9,4.5,Pass
109,57,79,47,2,5,1,10,10.68,Pass
100,57,81,42,5,6,10,10,8.25,Pass
71,68,92,47,3,4,1,2,5.62,Pass
95,0,67.4,33,2,4,0,1,4.68,Fail
0,60,98,46,2,8,2,10,5.25,Pass
60,0,38,24,1,7,1,2,5.25,Fail
90,54,30.3,20,4,5,,2,4.5,Fail
93,57,49,22,2,,0,2,3.37,Fail
0,0,46,17,2,,0,5,3.37,Fail
0,70,71,24,2,,1,2,3.75,Pass
82,60,52,38,3.5,8,2,10,8.34,Pass
97,0,98,48,5,6,2,10,12,Pass
127,68,98,47,5,10,4,10,13.21,Pass
76,30,61.1,45,1.5,5,2,2,4.78,Pass
124,57,74,25,2,5,0,8,7.12,Pass
83,55,33.1,37,2.5,7,0,2,4.4,Fail
117,64,98,45,1,5,0,7,5.53,Pass
124,68,99,48,4,8,1,10,8.53,Pass
0,52,82,33,3.5,,0,1,4.68,Fail
,68,,41,1,5,1,0,3.18,Fail
0,67,54,34,2,4,2,0,8.43,Pass
94,60,83,19.6,1.5,6,0,1,6.93,Pass
0,40,38.7,17,2,6,0,1,1.59,Fail
77,65,37,34,2.5,6,,2,5.34,Fail
0,50,56,33,2,3,0,2,5.9,Fail
0,56,25.4,14,2,3,0,0,0.93,Fail
0,62,82,35,3.5,5,1,3,7.68,Pass
0,60,82,29,5,3,,10,7.12,Pass
53,85,90,18,0,2,2.25,0,3.56,Fail
93,90,130,32,9,4.5,2,1,5.53,Pass
85,90,100,40,,2.5,1,4.5,6.93,Pass
76,75,99,42,6,3,0.5,,4.87,Fail
95,90,105,16,7,2,,0,3.93,Pass
89,83,125,15,9,5,1.5,4,5.62,Pass
69,95,60,47,5,2,2,2.5,6.28,Pass
110,50,110,,6,1,0.5,,3.93,Fail
81,90,120,43,3,2,0.25,0,4.12,Fail
54,80,105,,8,0,0.5,0,4.21,Fail
82,,,,7,0,,,3,Fail
98,85,115,50,7,4,0.25,9,5.62,Pass
101,82,118,47,,5,2.25,5.5,4.87,Pass
93,80,100,17,0,0,1,0,3.28,Fail
102,100,90,18,9.5,0,,1,4.5,Fail
107,80,100,17,9.5,0,,,4.03,Fail
93,80,105,36,8.5,0,0.5,0,4.31,Fail
110,65,95,35,8,3.5,0.25,0,2.71,Fail
106,87,77,48,9.5,1,3,6.5,7.03,Pass
,,,0,7,,0.25,0,2.62,Fail
60,94,104,49,7,8,1.5,6,2.15,Fail
48,85,60,35,8,1.5,1,9,5.06,Pass
46,28,25,12,5,2,0.75,0,4.68,Fail
83,85,80,10,1,,0.5,0,2.9,Fail
108,80,90,7,7,1,0.25,0,5.9,Fail
62,75,95,25,8.5,1,0.5,2,3,Fail
109,95,110,50,,3,0.25,3.5,4.87,Pass
73,85,68,28,9.5,4,3.25,2.5,5.25,Pass
70,90,115,37,2,2.5,0.75,,4.5,Pass
71,60,102,42,7,1,0.5,3,4.12,Fail
58,85,100,43,,1,2.75,0,4.5,Fail
102,92,103,50,7,1.5,3.75,9,6.18,Pass
102,94,97,43,,5,4.25,6,5.43,Pass
80.5,60.5,73.5,40.5,3.5,5,2,8,6.56,Pass
72.5,68,39,35,2.5,7,0,10,4.68,Pass
113,62,0,47,3.5,2.5,1,1,3.56,Fail
61,43.5,0,22,1.5,5,0.5,0,6.93,Fail
104,67,72.5,45,5,10.5,10,10,10.68,Pass
0,52,61,20.5,4.5,5.5,1.5,0,3.93,Fail
118,62,85.5,39.5,5,8.5,9.5,10,8.53,Pass
0,47,44,23,2,6,0.5,0,2.43,Fail
105,65,67.5,47,3.5,8.5,0,1,5.25,Pass
113,59,51.5,33,4.5,2,0.5,0,3.37,Fail
0,65.5,60.5,28,2.5,6.5,9,10,5.53,Pass
105,60,39.5,50,0,2,5.5,1,5.81,Pass
92,51,0,35,2.5,5.5,1.5,1,6.93,Pass
122,54.5,79,35,3.5,5.5,0,1,5.25,Pass
109,0,75.5,33,3,4.5,6,0,5.62,Pass
0,62,79,50,4,7,0,10,5.81,Pass
0,63.5,85,50,5,4,4,10,8.06,Pass
104,0,0,49.5,4.5,3,9.5,1,7.12,Pass
103,0,80,50,4,9,10,10,11.06,Pass
73.5,53.5,65,37,1.5,2,0.5,0,5.43,Pass
108,44.5,50,43.5,5,,4,1,8.06,Pass
107,56,82.5,47,5,9,9.5,10,10.96,Pass
119,42,72,46,4.5,8,1.5,0.5,7.12,Pass
75,0,0,15,2.5,6,1,0,4.68,Fail
103,52,60,21,4.5,9,1,0,7.31,Pass
56.5,0,61,25.5,3.5,3,2,0,4.5,Fail
110,53.5,70.5,30,3.5,8.5,1,10,5.06,Pass
89,40,32.5,33.5,3,3.5,0,0,4.31,Fail
92,70,82,42.5,4,7,3,0,4.4,Pass
101,49.5,0,47.5,3,8.5,0.5,0,6.56,Fail
62,0,57,30,0,10,0,1,3.37,Fail
84,51,44.5,28,2,7,1,0,5.25,Fail
125,60,84,40.5,4.5,6,0,0,8.06,Pass
97,0,50,41,0,4.5,0,0,4.4,Fail
